url,final_url,status,ttfb_ms,title,meta_description,canonical,robots,h1,has_schema,indexable,canonical_ok,https_ok,notes
https://www.seoindia.ai/,https://www.seoindia.ai/,200,1283,#1 SEO Company | SEO India - Brand Visibility Experts,"SEO India is the #1 SEO company you need to rank higher, drive traffic, and grow brand visibility. Discover our AI SEO services and strategies.",https://www.seoindia.ai/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Make,yes,yes,yes,yes,
https://www.seoindia.ai/about-seo-india/,https://www.seoindia.ai/about-seo-india/,200,894,About SEO INDIA | 10 Years of SEO & AI SEO Experts,"SEO INDIA brings 10 years of SEO expertise and AI-powered LLM SEO strategies to help your brand rank on Google, ChatGPT, and Gemini. Get your free audit.",https://www.seoindia.ai/about-seo-india/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",About SEO INDIA,yes,yes,yes,yes,
https://www.seoindia.ai/ai-and-search-engine-optimization/,https://www.seoindia.ai/ai-and-search-engine-optimization/,200,1292,"Complete SEO Checklist: On-Page, Off-Page & Technical","SEO India's complete SEO checklist covers on-page, off-page, and technical tasks with prioritization, frequency, and risks — so nothing slips through.",https://www.seoindia.ai/ai-and-search-engine-optimization/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Everything there is to know about AI and SEO,yes,yes,yes,yes,
https://www.seoindia.ai/ai-powered-seo/,https://www.seoindia.ai/ai-powered-seo/,200,1080,#1 AI SEO Services That Increase Visibility | SEO India,"SEO India's AI SEO services target the right prompts, optimize your content for AI engines, and boost visibility across ChatGPT, Claude, and more.",https://www.seoindia.ai/ai-powered-seo/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",AI SEO Services That Grow Your Brand's Visibility,yes,yes,yes,yes,
https://www.seoindia.ai/ai-powered-seo-services/,https://www.seoindia.ai/ai-powered-seo-services/,200,1176,AI Powered SEO Services That Boost Visibility | SEO India,Unlock the potential of AI powered SEO services to stay ahead in search results and reach your target audience effectively.,https://www.seoindia.ai/ai-powered-seo-services/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",AI Powered SEO Services to,yes,yes,yes,yes,
https://www.seoindia.ai/author/admin/,https://www.seoindia.ai/author/admin/,200,1153,"admin, Author at SEO India",,https://www.seoindia.ai/author/admin/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Author:,yes,yes,yes,yes,
https://www.seoindia.ai/blogs/,https://www.seoindia.ai/blogs/,200,1159,Blogs - SEO India,,https://www.seoindia.ai/blogs/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Blog,yes,yes,yes,yes,
https://www.seoindia.ai/category/agency/,https://www.seoindia.ai/category/agency/,200,993,Agency Archives - SEO India,,https://www.seoindia.ai/category/agency/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Category:,yes,yes,yes,yes,
https://www.seoindia.ai/category/ai-seo/,https://www.seoindia.ai/category/ai-seo/,200,1086,AI SEO Archives - SEO India,,https://www.seoindia.ai/category/ai-seo/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Category:,yes,yes,yes,yes,
https://www.seoindia.ai/category/industry/,https://www.seoindia.ai/category/industry/,200,950,Industry Archives - SEO India,,https://www.seoindia.ai/category/industry/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Category:,yes,yes,yes,yes,
https://www.seoindia.ai/category/learn-seo/,https://www.seoindia.ai/category/learn-seo/,200,1290,Learn SEO Archives - SEO India,,https://www.seoindia.ai/category/learn-seo/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Category:,yes,yes,yes,yes,
https://www.seoindia.ai/category/seo-guides/,https://www.seoindia.ai/category/seo-guides/,200,1670,SEO Guides Archives - SEO India,,https://www.seoindia.ai/category/seo-guides/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Category:,yes,yes,yes,yes,
https://www.seoindia.ai/category/seo-questions/,https://www.seoindia.ai/category/seo-questions/,200,1711,SEO Questions Archives - SEO India,,https://www.seoindia.ai/category/seo-questions/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Category:,yes,yes,yes,yes,
